ID,Name,Gender,TimeArrived,TimeAway
1,Dang Tuan Anh,Male,2023-12-05 07:30:30,2023-12-05 08:30:30
2,Huynh Van Khoa,Male,2023-12-05 07:30:30,2023-12-05 08:20:30
3,Le Anh Tuan,Male,2023-12-05 08:30:30,2023-12-05 08:40:30
4,Nguyen Van Thai,Male,2023-12-05 08:30:30,2023-12-05 08:40:30
5,Le Mai Anh,Female,2023-12-05 09:30:30,2023-12-05 10:30:30
6,Huynh Thi Khanh Linh,Female,2023-12-05 14:30:30,2023-12-05 15:30:30
7,Dang Bao Tram,Female,2023-12-05 12:30:30,2023-12-05 12:45:30
8,Duong Hong Ngoc,Female,2023-12-05 07:30:30,2023-12-05 07:45:30
9,Nguyen Gia Bao,Male,2023-12-05 09:30:30,2023-12-05 09:40:30
10,Thai Thi Hong Mai,Female,2023-12-05 11:30:30,2023-12-05 12:00:00
